Country,WeightPerCountry,WeightEurope,Gender,Question
Poland,1.03,1.04,Woman,Disagree
Poland,1.02,1.03,Woman,Disagree
Poland,1,1.01,Woman,Disagree
Poland,1.02,1.03,Woman,Agree
Poland,0.96,0.97,Man,Neither agree nor disagree
Poland,0.95,0.95,Man,Disagree
Poland,1.11,1.12,Man,Disagree
Poland,0.95,0.96,Woman,Disagree
Poland,1.03,1.04,Man,Agree
Poland,1.03,1.04,Man,Agree
Poland,0.95,0.95,Man,Disagree
Poland,1.03,1.04,Man,Strongly disagree
Poland,1,1.01,Woman,Agree
Poland,1.02,1.03,Woman,Strongly agree
Poland,1.03,1.04,Man,Disagree
Poland,1.11,1.12,Man,Agree
Poland,1.03,1.04,Man,Disagree
Czech Republic,1,0.21,Woman,Strongly disagree
Poland,0.96,0.97,Man,Disagree
Poland,1.03,1.04,Woman,Agree
Poland,1,1.01,Woman,Disagree
Poland,0.96,0.97,Woman,Neither agree nor disagree
Poland,0.95,0.95,Man,Agree
Czech Republic,0.99,0.21,Woman,Agree
Czech Republic,0.99,0.21,Woman,Strongly disagree
Czech Republic,1.04,0.22,Woman,Neither agree nor disagree
Czech Republic,1.05,0.22,Man,Strongly agree
Austria,0.97,0.19,Woman,Disagree
Austria,0.94,0.19,Man,Disagree
Austria,0.95,0.19,Man,Agree
Czech Republic,0.99,0.21,Man,Strongly agree
Austria,1.01,0.2,Man,Strongly disagree
Austria,1.07,0.21,Man,Agree
Austria,0.94,0.19,Man,Strongly disagree
Austria,1.01,0.2,Man,Agree
Austria,1.02,0.2,Woman,Agree
Austria,0.98,0.2,Man,Agree
Austria,1.06,0.21,Man,Disagree
Austria,0.94,0.19,Man,Strongly disagree
Czech Republic,0.98,0.21,Woman,Agree
Austria,1,0.2,Man,Agree
Czech Republic,0.98,0.21,Man,Strongly disagree
Czech Republic,0.97,0.2,Man,Disagree
Czech Republic,0.98,0.21,Man,Strongly agree
Austria,0.97,0.19,Man,Agree
Czech Republic,0.98,0.21,Man,Disagree
Czech Republic,1.01,0.21,Man,Disagree
Czech Republic,0.98,0.21,Man,Agree
Austria,1.03,0.21,Woman,Strongly disagree
Czech Republic,1.05,0.22,Man,Disagree
Austria,1,0.2,Man,Agree
Austria,1.02,0.2,Man,Strongly agree
Czech Republic,1,0.21,Man,Agree
Austria,1.01,0.2,Woman,Neither agree nor disagree
Austria,1,0.2,Man,Strongly agree
Austria,1.03,0.21,Woman,Agree
Austria,1.08,0.22,Man,Strongly disagree
Austria,1.03,0.21,Woman,Strongly agree
Austria,0.98,0.2,Man,Agree
Austria,1,0.2,Man,Disagree
Austria,0.98,0.2,Woman,Strongly disagree
Austria,0.97,0.19,Woman,Agree
Austria,0.95,0.19,Woman,Neither agree nor disagree
Austria,1,0.2,Man,Disagree
Austria,1.08,0.22,Man,Agree
Austria,0.98,0.2,Man,Strongly disagree
Czech Republic,0.97,0.2,Man,Disagree
Austria,1.04,0.21,Man,Agree
Austria,1.02,0.2,Woman,Agree
Austria,0.97,0.19,Man,Neither agree nor disagree
Austria,1,0.2,Man,Agree
Austria,0.98,0.2,Woman,Strongly disagree
Czech Republic,1.05,0.22,Man,Disagree
Austria,0.97,0.19,Woman,Agree
Austria,1,0.2,Woman,Strongly agree
Austria,1.06,0.21,Man,Agree
Turkey,0.86,1.46,Woman,Agree
Czech Republic,0.99,0.21,Man,Disagree
Turkey,0.94,1.59,Man,Strongly agree
Turkey,0.94,1.59,Man,Disagree
Turkey,0.85,1.43,Man,Disagree
Turkey,0.89,1.51,Man,Neither agree nor disagree
Turkey,0.94,1.59,Man,Neither agree nor disagree
Italy,1.05,1.69,Woman,Strongly disagree
Italy,1,1.61,Woman,Strongly disagree
Germany,1,2.21,Man,Disagree
Belgium,0.99,0.27,Woman,Disagree
Austria,1,0.2,Man,Disagree
Germany,0.97,2.16,Man,Neither agree nor disagree
Turkey,0.89,1.5,Woman,Neither agree nor disagree
Belgium,1.02,0.28,Man,Disagree
Spain,0.99,1.21,Woman,Strongly disagree
United Kingdom,1.03,1.62,Man,Agree
Romania,0.98,0.54,Man,Agree
United Kingdom,1.02,1.6,Man,Strongly agree
France,0.95,1.57,Man,Strongly disagree
France,0.98,1.62,Woman,Agree
Poland,0.96,0.97,Man,Neither agree nor disagree
Belgium,1.01,0.27,Man,Agree
Romania,1,0.54,Man,Strongly agree
Austria,1.02,0.2,Man,Agree
Belgium,0.98,0.27,Woman,Disagree
United Kingdom,0.93,1.45,Woman,Strongly disagree
Poland,0.95,0.96,Woman,Agree
Netherlands,1.03,0.43,Woman,Disagree
Turkey,0.86,1.46,Woman,Agree
Belgium,0.95,0.26,Woman,Agree
Spain,1.05,1.28,Man,Disagree
Romania,0.95,0.52,Woman,Agree
United Kingdom,0.93,1.45,Woman,Strongly agree
Australia,1.03,,Woman,Agree
Spain,1.09,1.33,Woman,Agree
Belgium,0.96,0.26,Woman,Disagree
USA,1,,Man,Agree
France,0.94,1.55,Woman,Neither agree nor disagree
France,0.92,1.52,Man,Strongly disagree
France,0.96,1.59,Woman,Disagree
France,1.04,1.72,Woman,Neither agree nor disagree
Turkey,1.02,1.71,Man,Neither agree nor disagree
Germany,1.04,2.31,Woman,Neither agree nor disagree
United Kingdom,1.05,1.64,Woman,Neither agree nor disagree
Belgium,1.06,0.29,Man,Neither agree nor disagree
Italy,1.02,1.64,Woman,Neither agree nor disagree
Australia,0.95,,Woman,Disagree
Turkey,0.94,1.59,Man,Disagree
Netherlands,1.02,0.43,Man,Disagree
Belgium,0.96,0.26,Woman,Strongly disagree
Australia,0.96,,Woman,Strongly disagree
Spain,1.11,1.35,Man,Strongly agree
Belgium,0.96,0.26,Woman,Strongly disagree
Germany,1.01,2.24,Man,Neither agree nor disagree
Turkey,0.94,1.59,Man,Agree
Romania,1,0.54,Man,Strongly disagree
Belgium,1.02,0.28,Man,Neither agree nor disagree
Turkey,0.89,1.5,Woman,Disagree
Poland,0.96,0.97,Woman,Neither agree nor disagree
Italy,1.05,1.7,Woman,Strongly disagree
Turkey,1.02,1.71,Man,Neither agree nor disagree
Netherlands,0.95,0.4,Woman,Disagree
Belgium,1.01,0.28,Man,Disagree
United Kingdom,0.97,1.52,Man,Strongly disagree
Poland,0.96,0.97,Woman,Neither agree nor disagree
Belgium,1.02,0.28,Man,Agree
Australia,0.97,,Woman,Agree
USA,1.03,,Man,Disagree
Spain,1.03,1.26,Man,Agree
Italy,1.04,1.69,Man,Strongly agree
Netherlands,1.01,0.42,Woman,Strongly disagree
USA,0.94,,Man,Agree
USA,1.02,,Woman,Agree
Netherlands,0.95,0.4,Woman,Agree
Austria,1.03,0.21,Woman,Agree
Spain,1.04,1.28,Woman,Strongly disagree
Turkey,0.89,1.5,Woman,Strongly disagree
Belgium,0.99,0.27,Woman,Agree
Germany,0.99,2.19,Woman,Agree
USA,1.04,,Woman,Strongly agree
Poland,0.95,0.96,Woman,Agree
Belgium,1.02,0.28,Man,Agree
Italy,1.01,1.64,Woman,Neither agree nor disagree
Germany,0.99,2.21,Woman,Neither agree nor disagree
France,0.92,1.52,Man,Disagree
Belgium,1.01,0.28,Man,Agree
France,0.93,1.53,Woman,Strongly agree
Spain,0.93,1.14,Woman,Disagree
France,0.95,1.57,Woman,Strongly agree
Australia,0.96,,Woman,Disagree
United Kingdom,0.96,1.51,Woman,Strongly disagree
Italy,0.98,1.59,Man,Agree
Belgium,0.98,0.27,Woman,Disagree
Netherlands,0.98,0.41,Woman,Agree
USA,0.96,,Woman,Neither agree nor disagree
Australia,0.97,,Woman,Disagree
United Kingdom,1.09,1.7,Woman,Agree
Belgium,1.02,0.28,Man,Strongly disagree
Australia,1,,Woman,Strongly disagree
Belgium,1.01,0.27,Man,Neither agree nor disagree
Germany,1.11,2.45,Woman,Strongly disagree
Germany,1,2.21,Woman,Strongly disagree
Netherlands,0.98,0.41,Woman,Strongly disagree
Austria,0.98,0.2,Woman,Neither agree nor disagree
Italy,0.92,1.49,Man,Neither agree nor disagree
Poland,0.96,0.97,Woman,Strongly disagree
Spain,1.02,1.25,Woman,Agree
Turkey,0.94,1.59,Man,Strongly agree
Austria,1.02,0.2,Man,Strongly disagree
Belgium,1.09,0.3,Woman,Agree
Poland,1.02,1.03,Woman,Agree
Belgium,0.99,0.27,Man,Strongly agree
Romania,0.97,0.53,Woman,Strongly agree
Italy,1.06,1.72,Woman,Neither agree nor disagree
France,0.94,1.54,Man,Disagree
France,0.93,1.53,Woman,Strongly disagree
Spain,0.93,1.14,Woman,Agree
Turkey,0.94,1.59,Man,Neither agree nor disagree
Netherlands,0.95,0.4,Woman,Neither agree nor disagree
United Kingdom,1.02,1.6,Woman,Disagree
Australia,1.09,,Man,Strongly agree
Germany,1,2.22,Woman,Strongly disagree
Germany,1.07,2.38,Man,Disagree
Germany,1.08,2.4,Man,Neither agree nor disagree
Belgium,0.97,0.26,Woman,Strongly disagree
Italy,0.95,1.53,Man,Disagree
Poland,0.96,0.97,Woman,Disagree
Poland,1.11,1.12,Man,Neither agree nor disagree
Poland,1.02,1.03,Woman,Strongly agree
USA,0.98,,Woman,Neither agree nor disagree
Netherlands,1.06,0.45,Woman,Agree
Belgium,1.01,0.27,Man,Disagree
Belgium,1.01,0.27,Man,Strongly agree
Belgium,1,0.27,Man,Neither agree nor disagree
USA,1.03,,Woman,Neither agree nor disagree
Spain,1.04,1.27,Woman,Agree
Italy,1.05,1.7,Woman,Strongly agree
Belgium,0.99,0.27,Man,Strongly agree
Netherlands,0.98,0.41,Woman,Neither agree nor disagree
Netherlands,0.97,0.4,Man,Neither agree nor disagree
France,0.99,1.63,Man,Disagree
Belgium,0.96,0.26,Man,Agree
Italy,1.05,1.7,Woman,Disagree
USA,0.99,,Man,Agree
Spain,1.08,1.32,Woman,Strongly agree
Austria,1.02,0.2,Woman,Disagree
Turkey,0.94,1.59,Man,Agree
Austria,0.99,0.2,Woman,Strongly agree
France,0.98,1.61,Man,Disagree
France,1.27,2.1,Man,Neither agree nor disagree
Turkey,0.94,1.59,Man,Agree
Australia,0.97,,Man,Neither agree nor disagree
Australia,0.95,,Woman,Agree
USA,1.02,,Man,Strongly agree
Czech Republic,0.99,0.21,Woman,Agree
Belgium,0.99,0.27,Man,Neither agree nor disagree
United Kingdom,0.93,1.46,Man,Disagree
Germany,1.09,2.41,Man,Neither agree nor disagree
Turkey,0.85,1.43,Man,Agree
Netherlands,0.98,0.41,Woman,Disagree
Italy,0.99,1.61,Woman,Disagree
Australia,1,,Woman,Neither agree nor disagree
Belgium,1.13,0.31,Woman,Agree
Poland,1.11,1.12,Man,Disagree
Germany,0.99,2.2,Woman,Agree
Austria,1.06,0.21,Woman,Neither agree nor disagree
Germany,0.98,2.18,Woman,Neither agree nor disagree
Poland,0.95,0.96,Woman,Agree
Spain,1.12,1.37,Man,Disagree
Australia,1.09,,Man,Disagree
United Kingdom,0.9,1.41,Man,Disagree
Netherlands,0.94,0.4,Man,Agree
Germany,0.96,2.13,Woman,Agree
Spain,1.05,1.28,Man,Neither agree nor disagree
USA,0.94,,Woman,Strongly disagree
United Kingdom,1.02,1.59,Man,Strongly disagree
Australia,0.94,,Woman,Strongly disagree
United Kingdom,0.96,1.51,Woman,Strongly disagree
Belgium,1.01,0.27,Man,Neither agree nor disagree
USA,0.99,,Man,Disagree
Italy,0.98,1.58,Woman,Agree
Poland,0.96,0.97,Woman,Neither agree nor disagree
France,0.96,1.58,Woman,Strongly agree
Netherlands,1.03,0.43,Man,Disagree
Netherlands,1.02,0.43,Man,Disagree
Belgium,1.04,0.28,Man,Strongly disagree
Czech Republic,0.99,0.21,Woman,Agree
Italy,1.02,1.64,Woman,Disagree
Poland,0.95,0.96,Woman,Agree
Spain,1.05,1.28,Man,Agree
Australia,0.96,,Woman,Disagree
Australia,0.99,,Man,Disagree
Czech Republic,1.01,0.21,Man,Disagree
France,0.92,1.52,Man,Neither agree nor disagree
Germany,0.99,2.19,Man,Strongly disagree
Belgium,0.97,0.26,Woman,Disagree
Spain,1.05,1.28,Man,Strongly disagree
Spain,1.02,1.24,Woman,Disagree
Czech Republic,0.97,0.2,Woman,Strongly disagree
United Kingdom,1.2,1.88,Man,Strongly agree
Poland,1.11,1.12,Man,Agree
Belgium,1.07,0.29,Woman,Agree
Romania,0.98,0.54,Man,Agree
France,0.93,1.53,Woman,Neither agree nor disagree
Netherlands,0.94,0.4,Man,Strongly disagree
France,0.94,1.55,Woman,Disagree
Turkey,0.94,1.59,Man,Agree
Germany,1,2.21,Man,Strongly disagree
Belgium,0.95,0.26,Woman,Strongly agree
United Kingdom,0.96,1.51,Woman,Strongly disagree
France,1.03,1.69,Woman,Agree
Italy,0.92,1.49,Man,Neither agree nor disagree
Poland,1.11,1.12,Man,Strongly disagree
Germany,0.97,2.16,Man,Strongly disagree
Netherlands,0.95,0.4,Woman,Strongly disagree
Czech Republic,1.08,0.23,Man,Neither agree nor disagree
Italy,1.03,1.66,Woman,Agree
Spain,0.96,1.17,Man,Strongly disagree
Poland,1.03,1.04,Man,Agree
Spain,0.99,1.21,Woman,Agree
Poland,1.03,1.04,Woman,Strongly agree
United Kingdom,0.94,1.47,Man,Disagree
Australia,1.01,,Man,Strongly disagree
Belgium,1.01,0.28,Man,Strongly disagree
Romania,0.96,0.52,Woman,Neither agree nor disagree
France,0.97,1.59,Woman,Disagree
Netherlands,0.96,0.4,Woman,Agree
Belgium,1.01,0.28,Man,Disagree
Belgium,0.97,0.27,Woman,Agree
Austria,0.95,0.19,Man,Strongly disagree
Germany,0.98,2.18,Man,Agree
Belgium,0.99,0.27,Man,Disagree
France,0.97,1.6,Woman,Neither agree nor disagree
Belgium,1.1,0.3,Man,Disagree
Australia,1.02,,Woman,Disagree
Italy,1.01,1.64,Woman,Disagree
Czech Republic,1.05,0.22,Man,Agree
USA,0.94,,Woman,Agree
Netherlands,1,0.42,Man,Strongly disagree
Germany,1,2.21,Woman,Agree
Belgium,1.13,0.31,Woman,Neither agree nor disagree
Italy,0.99,1.61,Woman,Disagree
Austria,0.98,0.2,Woman,Agree
Spain,1.07,1.31,Woman,Strongly disagree
Australia,0.97,,Woman,Neither agree nor disagree
Australia,1.02,,Woman,Disagree
France,1.01,1.66,Man,Disagree
Turkey,0.89,1.5,Woman,Neither agree nor disagree
Belgium,1.01,0.28,Man,Agree
Netherlands,0.99,0.41,Man,Disagree
Germany,0.94,2.09,Woman,Strongly disagree
United Kingdom,1,1.56,Man,Strongly disagree
Turkey,0.89,1.51,Man,Agree
Czech Republic,1,0.21,Man,Disagree
Czech Republic,1.03,0.22,Man,Neither agree nor disagree
Italy,0.99,1.61,Woman,Disagree
Spain,1.04,1.27,Man,Strongly disagree
France,0.98,1.61,Man,Neither agree nor disagree
Poland,1.02,1.03,Woman,Agree
USA,1,,Woman,Strongly agree
Netherlands,0.94,0.4,Man,Agree
Austria,1.13,0.23,Man,Strongly disagree
Germany,0.98,2.18,Man,Agree
Germany,1,2.22,Man,Strongly disagree
United Kingdom,1.02,1.6,Woman,Disagree
Belgium,0.99,0.27,Woman,Disagree
Austria,0.97,0.19,Man,Disagree
Belgium,1.02,0.28,Man,Strongly agree
Netherlands,0.99,0.41,Man,Strongly disagree
Spain,0.98,1.2,Woman,Agree
USA,1.02,,Man,Neither agree nor disagree
Poland,1.03,1.04,Woman,Agree
Romania,0.97,0.53,Woman,Neither agree nor disagree
Belgium,1.02,0.28,Man,Disagree
France,0.92,1.51,Man,Agree
Italy,1.06,1.72,Man,Neither agree nor disagree
Belgium,0.99,0.27,Man,Strongly disagree
Turkey,0.89,1.5,Woman,Strongly agree
Belgium,1.1,0.3,Man,Disagree
United Kingdom,0.93,1.45,Woman,Strongly disagree
Australia,0.99,,Man,Disagree
Australia,0.95,,Woman,Agree
Poland,0.95,0.96,Woman,Strongly agree
Spain,1.05,1.28,Man,Agree
United Kingdom,0.94,1.48,Man,Strongly disagree
France,0.95,1.57,Man,Disagree
France,0.94,1.55,Woman,Strongly agree
France,0.96,1.59,Woman,Neither agree nor disagree
Netherlands,0.97,0.4,Man,Strongly disagree
Czech Republic,0.97,0.2,Man,Neither agree nor disagree
France,0.95,1.56,Woman,Disagree
Italy,0.98,1.58,Woman,Neither agree nor disagree
Turkey,0.89,1.51,Man,Agree
Belgium,1.01,0.27,Man,Agree
Belgium,0.9,0.25,Woman,Disagree
Italy,1.05,1.7,Woman,Disagree
Netherlands,0.98,0.41,Woman,Strongly agree
Poland,1.03,1.04,Man,Neither agree nor disagree
Germany,0.98,2.18,Man,Neither agree nor disagree
Czech Republic,0.97,0.2,Man,Strongly disagree
Belgium,0.99,0.27,Man,Disagree
Spain,0.93,1.14,Woman,Strongly disagree
Czech Republic,0.99,0.21,Woman,Disagree
Spain,0.99,1.21,Woman,Strongly agree
Australia,0.98,,Man,Neither agree nor disagree
USA,0.96,,Woman,Strongly disagree
USA,0.97,,Man,Strongly disagree
United Kingdom,0.98,1.53,Woman,Disagree
Turkey,0.89,1.5,Woman,Neither agree nor disagree
Italy,1.05,1.69,Woman,Neither agree nor disagree
Netherlands,0.98,0.41,Man,Agree
Belgium,0.96,0.26,Woman,Disagree
Italy,1.02,1.64,Woman,Strongly disagree
Germany,0.98,2.16,Woman,Agree
United Kingdom,0.94,1.47,Man,Strongly disagree
Australia,0.94,,Woman,Neither agree nor disagree
Spain,1.02,1.24,Woman,Neither agree nor disagree
Germany,0.85,1.88,Man,Agree
Poland,1.03,1.04,Woman,Disagree
Belgium,0.98,0.27,Woman,Agree
Netherlands,0.99,0.41,Man,Strongly disagree
Czech Republic,0.99,0.21,Woman,Strongly agree
United Kingdom,0.94,1.48,Man,Disagree
Germany,1.02,2.27,Man,Strongly disagree
Belgium,0.96,0.26,Woman,Strongly disagree
Belgium,0.97,0.27,Woman,Strongly disagree
Spain,0.98,1.2,Woman,Strongly agree
Netherlands,0.98,0.41,Woman,Agree
Australia,0.95,,Woman,Agree
Belgium,1.02,0.28,Man,Strongly disagree
USA,1.02,,Man,Strongly disagree
Turkey,1.02,1.71,Man,Neither agree nor disagree
USA,0.99,,Man,Strongly disagree
Poland,0.96,0.97,Man,Strongly disagree
Germany,0.98,2.17,Woman,Strongly disagree
France,0.97,1.61,Woman,Neither agree nor disagree
Austria,1.07,0.21,Man,Neither agree nor disagree
Belgium,1.01,0.28,Man,Disagree
USA,0.96,,Woman,Disagree
United Kingdom,0.92,1.44,Man,Strongly disagree
United Kingdom,0.93,1.45,Woman,Strongly disagree
Poland,0.96,0.97,Woman,Neither agree nor disagree
Australia,0.95,,Woman,Neither agree nor disagree
Italy,1.02,1.64,Woman,Strongly agree
Spain,0.99,1.21,Woman,Strongly disagree
Romania,0.97,0.53,Woman,Disagree
France,0.97,1.6,Man,Disagree
Netherlands,1.02,0.43,Woman,Neither agree nor disagree
Belgium,0.99,0.27,Man,Strongly disagree
USA,0.97,,Woman,Neither agree nor disagree
Australia,0.99,,Man,Neither agree nor disagree
Germany,1.01,2.25,Man,Disagree
Germany,1.01,2.25,Woman,Disagree
USA,0.99,,Woman,Disagree
Netherlands,1.02,0.43,Man,Neither agree nor disagree
Italy,1.02,1.64,Woman,Strongly disagree
Belgium,1.01,0.27,Man,Strongly disagree
Poland,0.95,0.96,Woman,Agree
Belgium,0.97,0.26,Woman,Agree
USA,0.99,,Woman,Neither agree nor disagree
France,0.93,1.54,Woman,Disagree
Czech Republic,1.08,0.23,Man,Disagree
USA,0.94,,Woman,Strongly disagree
Italy,0.99,1.61,Woman,Agree
Australia,1.09,,Man,Agree
United Kingdom,0.96,1.5,Man,Strongly disagree
Poland,0.95,0.95,Man,Strongly disagree
Netherlands,0.99,0.42,Man,Disagree
Belgium,0.96,0.26,Woman,Disagree
Italy,0.94,1.52,Man,Neither agree nor disagree
Czech Republic,1,0.21,Man,Disagree
Australia,1.03,,Man,Neither agree nor disagree
Poland,1.03,1.04,Woman,Disagree
Spain,0.93,1.13,Woman,Agree
Germany,1.11,2.45,Woman,Disagree
France,0.99,1.63,Man,Strongly disagree
Netherlands,0.98,0.41,Woman,Agree
Czech Republic,0.98,0.21,Man,Disagree
Germany,0.98,2.18,Woman,Strongly disagree
United Kingdom,0.96,1.51,Woman,Strongly disagree
Belgium,0.85,0.23,Woman,Disagree
Austria,1.02,0.2,Woman,Strongly disagree
Italy,0.99,1.61,Woman,Agree
Netherlands,0.98,0.41,Woman,Neither agree nor disagree
Czech Republic,0.99,0.21,Woman,Agree
Spain,1.04,1.28,Woman,Neither agree nor disagree
France,1.03,1.7,Man,Agree
Belgium,0.96,0.26,Woman,Strongly agree
Germany,0.94,2.09,Woman,Agree
Spain,0.97,1.18,Man,Neither agree nor disagree
Italy,0.99,1.61,Woman,Neither agree nor disagree
Australia,0.96,,Woman,Neither agree nor disagree
Poland,0.95,0.96,Woman,Agree
United Kingdom,1.12,1.76,Man,Agree
Turkey,0.89,1.51,Man,Agree
France,0.97,1.59,Man,Disagree
France,1.03,1.69,Woman,Neither agree nor disagree
Poland,1.03,1.04,Woman,Neither agree nor disagree
Turkey,0.89,1.5,Woman,Agree
Australia,1.03,,Man,Strongly disagree
Germany,1,2.21,Man,Strongly disagree
Germany,1,2.21,Man,Disagree
Netherlands,0.98,0.41,Woman,Disagree
Netherlands,1.03,0.43,Man,Neither agree nor disagree
Spain,0.99,1.21,Woman,Neither agree nor disagree
USA,0.99,,Woman,Agree
USA,0.99,,Man,Disagree
Poland,1.03,1.04,Woman,Disagree
Belgium,0.97,0.26,Woman,Agree
Belgium,0.96,0.26,Woman,Neither agree nor disagree
United Kingdom,0.93,1.45,Man,Neither agree nor disagree
Spain,1.02,1.25,Woman,Disagree
Poland,0.96,0.97,Woman,Strongly disagree
Italy,1.06,1.72,Man,Strongly disagree
Czech Republic,1.01,0.21,Man,Disagree
Belgium,1.01,0.28,Woman,Neither agree nor disagree
Australia,0.97,,Man,Strongly disagree
Czech Republic,0.98,0.21,Man,Disagree
Italy,1.04,1.69,Man,Strongly agree
Germany,1.04,2.31,Man,Strongly disagree
France,0.95,1.57,Man,Agree
France,0.94,1.55,Woman,Disagree
France,1.01,1.66,Woman,Neither agree nor disagree
Poland,1.03,1.04,Woman,Agree
Spain,0.96,1.17,Man,Disagree
Belgium,1.01,0.28,Man,Disagree
Spain,1.01,1.23,Man,Strongly disagree
Belgium,0.97,0.27,Woman,Strongly disagree
USA,1.03,,Woman,Agree
Germany,0.99,2.2,Woman,Neither agree nor disagree
USA,1.02,,Man,Agree
USA,1,,Woman,Strongly disagree
Austria,1.06,0.21,Man,Strongly disagree
Belgium,0.9,0.25,Woman,Disagree
Germany,1,2.21,Man,Strongly disagree
Belgium,1.06,0.29,Man,Neither agree nor disagree
Romania,0.98,0.54,Man,Neither agree nor disagree
Italy,1.05,1.69,Woman,Disagree
Belgium,0.96,0.26,Man,Neither agree nor disagree
Belgium,1.02,0.28,Man,Neither agree nor disagree
United Kingdom,0.93,1.45,Woman,Disagree
Australia,0.95,,Woman,Disagree
USA,0.92,,Woman,Neither agree nor disagree
USA,0.94,,Woman,Disagree
Belgium,0.96,0.26,Man,Neither agree nor disagree
Poland,1,1.01,Woman,Strongly disagree
Netherlands,1.01,0.42,Woman,Disagree
Spain,1.04,1.27,Woman,Agree
Australia,1.01,,Man,Strongly disagree
Netherlands,0.98,0.41,Woman,Neither agree nor disagree
Italy,1,1.61,Woman,Neither agree nor disagree
USA,0.94,,Woman,Strongly disagree
Netherlands,0.96,0.4,Woman,Neither agree nor disagree
France,0.96,1.58,Man,Agree
Netherlands,1.03,0.43,Man,Strongly disagree
United Kingdom,0.93,1.46,Man,Strongly disagree
United Kingdom,0.97,1.52,Man,Strongly disagree
Belgium,0.94,0.26,Woman,Agree
United Kingdom,1.12,1.76,Man,Disagree
Germany,0.87,1.93,Man,Strongly disagree
Germany,0.85,1.88,Man,Neither agree nor disagree
Belgium,1.01,0.28,Man,Strongly disagree
Australia,1,,Man,Agree
USA,0.94,,Woman,Neither agree nor disagree
Poland,0.95,0.95,Man,Disagree
Turkey,1.02,1.71,Man,Disagree
Italy,1,1.61,Man,Agree
USA,0.96,,Woman,Disagree
Spain,0.89,1.09,Man,Strongly disagree
Austria,1.08,0.22,Man,Strongly disagree
Romania,0.95,0.52,Woman,Disagree
Belgium,0.96,0.26,Woman,Agree
France,0.97,1.6,Man,Strongly agree
Italy,1.01,1.64,Woman,Strongly agree
Spain,0.99,1.21,Woman,Neither agree nor disagree
Poland,1,1.01,Woman,Strongly agree
Turkey,0.89,1.5,Woman,Agree
Netherlands,0.99,0.41,Man,Disagree
France,0.98,1.61,Woman,Neither agree nor disagree
Spain,1.01,1.23,Man,Strongly agree
Turkey,0.86,1.46,Woman,Strongly agree
Australia,0.95,,Woman,Disagree
Poland,1.02,1.03,Woman,Disagree
Belgium,1.02,0.28,Man,Disagree
Italy,0.94,1.52,Man,Neither agree nor disagree
Netherlands,1.04,0.44,Man,Disagree
Netherlands,1,0.42,Woman,Neither agree nor disagree
Germany,1.02,2.25,Man,Strongly agree
Germany,0.94,2.09,Woman,Agree
Australia,0.95,,Woman,Disagree
United Kingdom,1.13,1.77,Woman,Agree
Belgium,1.04,0.28,Man,Strongly disagree
Spain,1.05,1.28,Man,Disagree
Belgium,1.06,0.29,Man,Strongly agree
Belgium,0.99,0.27,Man,Agree
USA,0.95,,Woman,Strongly agree
Italy,0.92,1.49,Man,Neither agree nor disagree
France,0.93,1.53,Woman,Strongly agree
Poland,0.95,0.95,Man,Disagree
Belgium,1.01,0.28,Man,Strongly disagree
Italy,0.99,1.61,Woman,Neither agree nor disagree
Poland,1.02,1.03,Woman,Strongly agree
Spain,1.04,1.28,Woman,Agree
Australia,1.01,,Woman,Neither agree nor disagree
United Kingdom,0.94,1.48,Woman,Strongly disagree
Romania,1.08,0.59,Woman,Strongly disagree
France,1.08,1.78,Woman,Neither agree nor disagree
Netherlands,0.98,0.41,Woman,Neither agree nor disagree
USA,0.96,,Woman,Disagree
Australia,0.94,,Woman,Strongly agree
Turkey,1.02,1.71,Man,Strongly agree
Austria,1.04,0.21,Man,Agree
United Kingdom,0.93,1.45,Woman,Agree
Germany,0.85,1.88,Man,Disagree
Spain,1.03,1.26,Man,Agree
Netherlands,1.03,0.43,Man,Strongly agree
Italy,1.06,1.72,Man,Strongly disagree
Poland,1.02,1.03,Woman,Disagree
Romania,0.97,0.53,Man,Disagree
Belgium,1.06,0.29,Man,Strongly disagree
Czech Republic,1.01,0.21,Man,Strongly disagree
France,0.96,1.58,Woman,Neither agree nor disagree
Belgium,1.02,0.28,Man,Neither agree nor disagree
Belgium,0.97,0.26,Woman,Strongly agree
Spain,1.02,1.24,Woman,Disagree
Australia,0.97,,Man,Agree
Austria,1.07,0.21,Man,Strongly agree
France,0.97,1.59,Man,Neither agree nor disagree
Poland,1.11,1.12,Man,Agree
Belgium,0.99,0.27,Man,Strongly disagree
Germany,0.99,2.2,Man,Agree
Germany,0.97,2.16,Man,Agree
Czech Republic,1.03,0.22,Man,Strongly disagree
Spain,1.05,1.28,Man,Agree
Italy,0.95,1.53,Man,Neither agree nor disagree
Poland,1.03,1.04,Woman,Agree
USA,1.06,,Man,Strongly disagree
Belgium,0.9,0.25,Woman,Strongly disagree
Czech Republic,0.99,0.21,Woman,Strongly disagree
Belgium,1.05,0.29,Man,Strongly disagree
Netherlands,1.03,0.43,Man,Disagree
France,1.09,1.8,Man,Disagree
Romania,0.95,0.52,Woman,Neither agree nor disagree
France,0.98,1.62,Woman,Neither agree nor disagree
Australia,0.96,,Woman,Disagree
United Kingdom,1.02,1.6,Woman,Strongly disagree
Australia,0.95,,Woman,Strongly agree
Belgium,1.01,0.27,Man,Neither agree nor disagree
Italy,1.04,1.69,Man,Agree
Spain,1.05,1.28,Man,Disagree
